IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,3,Projection,901164
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,3,Projection,583725.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,3,Projection,391948
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,3,Projection,243249.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,3,Projection,147549
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,3,Projection,81856
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,3,Projection,35705.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,3,Projection,12803.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,3,Projection,3200.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,3,Projection,6161637
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,3,Projection,5233066
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,3,Projection,4420907.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,3,Projection,3966112.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,3,Projection,3374913
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,3,Projection,2714711.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,3,Projection,2165159
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,3,Projection,1729985
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,3,Projection,1329550
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,3,Projection,948084.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,3,Projection,618981
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,3,Projection,401005
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,3,Projection,251719
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,3,Projection,148506
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,3,Projection,82246
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,3,Projection,35746.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,3,Projection,12400
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,3,Projection,3143.5
